GEOID,pop_50plus
250056524001,209.0
250056524002,384.0
250056525001,231.0
250056525002,240.0
250056526001,122.0
250056526002,381.0
250056527001,128.0
250056527002,397.0
250056527003,319.0
250056527004,53.0
250056528001,612.0
250056528002,297.0
250056528003,392.0
250056531011,260.0
250056531012,618.0
250056531013,1119.0
250056531014,618.0
250056531021,858.0
250056531022,231.0
250056531023,499.0
250056532031,576.0
250056532032,662.0
250056532033,308.0
250056532034,268.0
250056532041,349.0
250056532042,665.0
250056533011,650.0
250056533012,964.0
250056533013,308.0
250056533014,639.0
250056533041,529.0
250056533042,1179.0
250056541001,655.0
250056541002,1225.0
250056541003,834.0
250056542001,459.0
250056542002,479.0
250056542003,574.0
250056551001,704.0
250056551002,603.0
250056552001,439.0
250056552002,504.0
250056552003,217.0
250056552004,675.0
250056552005,212.0
250056553001,656.0
250056553002,224.0
250056553003,459.0
250056554001,652.0
250056554002,754.0
250056554003,191.0
250056554004,509.0
250059855001,610.0
250059855002,0.0
250059856001,562.0
250059856002,460.0
250059856003,93.0
250059900000,0.0
250072001001,523.0
250072001002,330.0
250072001003,784.0
250072001004,627.0
250072001005,105.0
250072002001,413.0
250072002002,92.0
250072002003,876.0
250072002004,42.0
250072002005,381.0
250072003001,673.0
250072003002,740.0
250072003003,539.0
250072003004,483.0
250072004001,688.0
250072004002,819.0
250072004003,309.0
250072004004,453.0
250072004005,270.0
250072004006,19.0
250079900000,0.0
250092011001,427.0
250092011002,944.0
250092011003,596.0
250092021011,386.0
250092021012,229.0
250092021013,223.0
250092021031,349.0
250092021041,372.0
250092021042,186.0
250092021043,155.0
250092021044,303.0
250092021045,836.0
250092022001,259.0
250092022002,652.0
250092022003,318.0
250092022004,436.0
250092022005,188.0
250092022006,404.0
250092031001,436.0
250092031002,209.0
250092031003,354.0
250092031004,347.0
250092031005,333.0
250092031006,285.0
250092031007,207.0
250092031008,299.0
250092032001,308.0
250092032002,273.0
250092032003,391.0
250092032004,920.0
250092032005,0.0
250092033011,386.0
250092033012,907.0
250092033013,138.0
250092033014,267.0
250092033021,721.0
250092033022,318.0
250092033023,352.0
250092033024,609.0
250092041011,348.0
250092041012,176.0
250092041013,352.0
250092041014,181.0
250092041021,970.0
250092041022,1045.0
250092042001,336.0
250092042002,194.0
250092042003,454.0
250092042004,223.0
250092042005,121.0
250092043001,766.0
250092043002,410.0
250092043003,222.0
250092044001,306.0
250092044002,201.0
250092044003,485.0
250092044004,156.0
250092045001,269.0
250092045002,555.0
250092045003,220.0
250092046001,359.0
250092046002,491.0
250092046003,342.0
250092046004,387.0
250092046005,117.0
250092047011,495.0
250092047012,396.0
250092047013,795.0
250092047014,906.0
250092047021,221.0
250092047022,248.0
250092047023,163.0
250092047024,908.0
250092051001,698.0
250092051002,105.0
250092051003,357.0
250092051004,578.0
250092051005,128.0
250092052001,266.0
250092052002,353.0
250092052003,141.0
250092052004,364.0
250092052005,394.0
250092053001,595.0
250092053002,391.0
250092053003,217.0
250092053004,185.0
250092054001,401.0
250092054002,759.0
250092054003,469.0
250092055001,657.0
250092055002,675.0
250092056001,275.0
250092056002,224.0
250092056003,547.0
250092056004,153.0
250092057001,121.0
250092057002,258.0
250092057003,360.0
250092057004,189.0
250092057005,329.0
250092058001,179.0
250092058002,40.0
250092058003,353.0
250092059001,445.0
250092059002,266.0
250092059003,302.0
250092060001,331.0
250092060002,152.0
250092061001,565.0
250092061002,320.0
250092062001,223.0
250092062002,500.0
250092062003,235.0
250092063001,364.0
250092063002,147.0
250092063003,75.0
250092063004,148.0
250092064001,450.0
250092064002,452.0
250092064003,228.0
250092064004,342.0
250092065001,248.0
250092065002,151.0
250092065003,220.0
250092066001,251.0
